series_name,include_main_2007,cv2007_found,cv2007_supw_stat,cv2007_break_date,cv2007_hac_lag,cv2007_mu1,cv2007_mu2,cv2007_ratio,cv2007_pct_change,cv2007_hansen_pval,cv2007_hansen_sig5
EXUSUKx,1,1,220.327997006263,01-Sep-1967,5,0.00225712913802076,0.019828840460898,8.78498271405314,778.498271405314,0,1
EXCAUSx,1,1,104.961597805708,01-Mar-1975,5,0.00404472507061305,0.0120444423625819,2.97781484583238,197.781484583238,0,1
WPSFD49207,1,1,11.2359457976699,01-Jun-2000,5,0.003709442799221,0.00564316677680943,1.52129769408886,52.1297694088861,0.0149612214384813,1
WPSFD49502,1,1,12.1547203500497,01-Jan-2000,5,0.00469321095883142,0.00714606072158547,1.52263786654176,52.2637866541757,0.00971320794592856,1
WPSID61,1,1,25.0452725313642,01-Dec-1969,5,0.00253215663367507,0.00472713272883655,1.8668405682218,86.6840568221795,1.91173538391931e-05,1
WPSID62,1,1,36.1878291239936,01-Apr-1970,5,0.0121911639700879,0.0266296946681504,2.18434390132794,118.434390132794,7.77975660559704e-08,1
OILPRICEx,1,1,142.213597964541,01-Jun-1967,5,0.00579759269547834,0.0583471768411113,10.0640351790524,906.403517905241,0,1
PPICMM,1,1,67.5511425057396,01-Sep-1967,5,0.00936467382121038,0.024102547883117,2.57377334686514,157.377334686514,1.19904086659517e-14,1
CPIAUCSL,1,1,6.41577588323873,01-Dec-1972,5,0.00150844670009021,0.00194349501595225,1.28840814583374,28.840814583374,0.135438911116452,0
CPIAPPSL,1,1,54.457253621455,01-Jul-1972,5,0.00207739465129504,0.00385909779265744,1.85766233211955,85.7662332119553,8.53772608166992e-12,1
CPITRNSL,1,1,32.0250910717393,01-Jan-1999,5,0.00501788887721932,0.0113188443895102,2.2556984952171,125.56984952171,6.12559593715645e-07,1
CPIMEDSL,1,1,79.6745892229522,01-Mar-1984,5,0.00238431047656703,0.00104590865165648,0.43866294341096,-56.133705658904,0,1
CUSR0000SAC,1,1,29.7618523309353,01-Dec-1972,5,0.00216079667670991,0.00354012976734898,1.63834469272661,63.8344692726611,1.874933926449e-06,1
CUSR0000SAD,1,1,35.0588512101128,01-Mar-1988,5,0.0026504892421029,0.00165090489762129,0.62286798655763,-37.713201344237,1.36244290072085e-07,1
CUSR0000SAS,1,1,35.8791317175797,01-Jan-1984,5,0.00233877668784496,0.00112949924573262,0.482944460496304,-51.7055539503696,9.0683137110581e-08,1
CPIULFSL,1,1,8.93342450996244,01-Mar-1999,5,0.00191361853768149,0.00277569428144522,1.45049508394093,45.0495083940928,0.0435546658202141,1
CUSR0000SA0L2,1,1,12.964022929683,01-Mar-1999,5,0.00217845232804586,0.0033403957381855,1.53338023292065,53.3380232920651,0.0066252309662751,1
CUSR0000SA0L5,1,1,7.3878099358003,01-Mar-1987,5,0.00228180976738976,0.0017674779445633,0.774594784290534,-22.5405215709466,0.0878827061826464,0
PCEPI,1,1,23.0884448880618,01-Aug-1972,5,0.00107013990940553,0.00161182444518592,1.50618104326311,50.6181043263108,4.98691335927282e-05,1
DDURRG3M086SBEA,1,1,4.6743200094164,01-May-1981,5,0.00251068784884779,0.00209517067862649,0.834500664663674,-16.5499335336326,0.286478192890511,0
DNDGRG3M086SBEA,1,1,41.8417575779041,01-Dec-1972,5,0.00235961825732387,0.00438274750840758,1.85739684578396,85.7396845783955,4.67145366833677e-09,1
DSERRG3M086SBEA,1,1,51.5230793877993,01-Dec-1972,5,0.000693350042409112,0.00131562547535408,1.89749101447057,89.7491014470566,3.71039865498801e-11,1
CES0600000008,1,1,36.3883019987247,01-Jun-1999,5,0.00264955960869236,0.0015751598023108,0.594498722407756,-40.5501277592244,7.04259168760046e-08,1
CES2000000008,1,1,67.1176531251126,01-Mar-1997,5,0.0051927922079429,0.00234599096551443,0.45177832494934,-54.822167505066,1.48769885299771e-14,1
CES3000000008,1,1,34.0186711787276,01-Mar-1983,5,0.00368208288922431,0.00200638131776382,0.54490389763781,-45.509610236219,2.2821337297696e-07,1
UMCSENTx,0,0,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,0
DTCOLNVHFNM,1,1,75.135607415899,01-Jul-1976,5,0.00678584133588451,0.0178470570375695,2.63004337327955,163.004337327956,2.22044604925031e-16,1
DTCTHFNM,1,1,32.7880127690516,01-Jun-1970,5,0.00421636988260375,0.00812200624852412,1.92630306985982,92.6303069859825,4.198917892273e-07,1
INVEST,1,1,14.7374763590089,01-Sep-1975,5,0.00978525322158667,0.00719290848928303,0.735076377320025,-26.4923622679975,0.0028482359098686,1
VIXCLSx,1,1,2.33179499353672,01-Nov-1987,5,3.05251910935677,2.57030357156917,0.842027020794242,-15.7972979205758,0.708248821055987,0
