series_name,fred_group,include_hist,include_2007,include_full,uv_nb_hist,uv_break_dates_hist,cv_nb_hist,cv_break_dates_hist,uv_nb_2007,uv_break_dates_2007,cv_nb_2007,cv_break_dates_2007,uv_nb_full,uv_break_dates_full,cv_nb_full,cv_break_dates_full
EXSZUSx,Interest and Exchange Rates,1,1,0,1,01-Jan-1973,2,01-Oct-1966 | 01-Jan-1973,2,01-Jan-1973 | 01-Sep-2001,3,01-Oct-1966 | 01-Jan-1973 | 01-Mar-1995,NaN,,NaN,
EXJPUSx,Interest and Exchange Rates,1,1,0,2,01-Jul-1971 | 01-Sep-1977,2,01-Aug-1971 | 01-Feb-1978,3,01-Jul-1971 | 01-Sep-1977 | 01-Mar-2000,3,01-Aug-1971 | 01-Feb-1978 | 01-Jul-2000,NaN,,NaN,
EXUSUKx,Interest and Exchange Rates,1,1,0,4,01-Apr-1966 | 01-Jun-1972 | 01-Jun-1984 | 01-Apr-1993,3,01-May-1972 | 01-Jun-1984 | 01-Apr-1993,5,01-Mar-1966 | 01-May-1972 | 01-Jun-1984 | 01-Apr-1993 | 01-Jul-1999,5,01-Jan-1962 | 01-Jul-1971 | 01-Sep-1977 | 01-Jun-1984 | 01-Apr-1993,NaN,,NaN,
EXCAUSx,Interest and Exchange Rates,1,1,0,1,01-Mar-1975,1,01-Mar-1975,4,01-Aug-1962 | 01-May-1970 | 01-Jul-1976 | 01-Oct-2001,2,01-Mar-1975 | 01-Sep-2000,NaN,,NaN,
WPSFD49207,Prices,1,1,1,1,01-Apr-1975,1,01-Feb-1992,2,01-Apr-1975 | 01-Jan-2000,2,01-Jul-1991 | 01-May-2001,2,01-Apr-1975 | 01-Jan-2000,1,01-Sep-2004
WPSFD49502,Prices,1,1,1,1,01-Apr-1975,1,01-Feb-1992,2,01-Apr-1975 | 01-Jan-2000,2,01-Nov-1991 | 01-May-2001,2,01-Apr-1975 | 01-Jan-2000,3,01-Feb-1992 | 01-Sep-1998 | 01-Apr-2005
WPSID61,Prices,1,1,1,2,01-Nov-1972 | 01-Jan-1979,4,01-Jan-1962 | 01-Apr-1963 | 01-Aug-1971 | 01-Nov-1977,3,01-Nov-1972 | 01-Jan-1979 | 01-May-2000,4,01-Aug-1972 | 01-Oct-1978 | 01-Aug-1991 | 01-Jun-2001,2,01-Nov-1975 | 01-Dec-2002,3,01-Aug-1972 | 01-Oct-1978 | 01-Dec-2002
WPSID62,Prices,1,1,1,2,01-Mar-1973 | 01-Apr-1990,5,01-Feb-1966 | 01-Oct-1971 | 01-Oct-1972 | 01-Oct-1978 | 01-May-1990,2,01-Apr-1990 | 01-Sep-1999,2,01-Oct-1972 | 01-Nov-1996,2,01-Mar-1973 | 01-Feb-1996,3,01-Apr-1970 | 01-Jul-1976 | 01-Oct-1996
OILPRICEx,Prices,1,1,0,1,01-Jul-1973,2,01-Feb-1969 | 01-Nov-1985,2,01-Jul-1973 | 01-Nov-1985,2,01-Feb-1969 | 01-Nov-1985,NaN,,NaN,
PPICMM,Prices,1,1,1,1,01-Sep-1967,1,01-Sep-1967,3,01-Sep-1967 | 01-Feb-1987 | 01-Mar-1999,3,01-Sep-1967 | 01-Dec-1980 | 01-Apr-1987,2,01-Sep-1967 | 01-Mar-1999,3,01-Sep-1967 | 01-Dec-1980 | 01-Apr-1987
CPIAUCSL,Prices,1,1,1,1,01-Nov-1990,2,01-Dec-1972 | 01-Apr-1983,2,01-Apr-1992 | 01-Mar-1999,0,,0,,0,
CPIAPPSL,Prices,1,1,1,2,01-Jan-1984 | 01-Apr-1990,2,01-Jan-1974 | 01-Jun-1986,1,01-Nov-1987,2,01-Jul-1972 | 01-Jan-1986,1,01-Nov-1987,2,01-Apr-1986 | 01-Jan-2018
CPITRNSL,Prices,1,1,1,0,,0,,1,01-Feb-2000,4,01-Oct-1985 | 01-Dec-1991 | 01-Feb-1993 | 01-Feb-2000,1,01-Feb-2000,3,01-Mar-1980 | 01-Jun-1991 | 01-May-2000
CPIMEDSL,Prices,1,1,1,4,01-Apr-1978 | 01-Jun-1984 | 01-Dec-1985 | 01-Sep-1993,2,01-Apr-1983 | 01-Aug-1993,3,01-Apr-1978 | 01-Jun-1984 | 01-Jun-2001,3,01-Apr-1983 | 01-Aug-1993 | 01-Jun-2001,2,01-Apr-1978 | 01-Feb-2013,5,01-Jun-1978 | 01-Aug-1984 | 01-Nov-1993 | 01-Sep-2001 | 01-Jan-2015
