series_name,include_main_hist,cv_supw_found_hist,cv_supw_stat_hist,cv_supw_break_date_hist,cv_supw_hac_lag_hist,cv_mu1_hist,cv_mu2_hist,cv_ratio_hist,cv_pct_change_hist,cv_break_date_hist,cv_hansen_pval_hist,cv_hansen_sig5_hist
USFIRE,1,1,8.73135303418229,01-Jan-1966,5,0.000782181716826375,0.00104940166094223,1.34163409648601,34.1634096486012,01-Jan-1966,0.0477804366223845,1
USGOVT,1,1,32.8248999420062,01-Nov-1992,5,0.00226667983525365,0.00115280656386008,0.508588176384904,-49.1411823615096,01-Nov-1992,4.12291717211133e-07,1
CES0600000007,1,1,12.3030761524463,01-Mar-1984,5,0.244785619998562,0.160836510236809,0.657050484574029,-34.294951542597,01-Mar-1984,0.00905656233599506,1
AWOTMAN,1,1,6.38694487942358,01-May-1993,5,0.129126026871126,0.0896343723554758,0.694161932550864,-30.5838067449136,01-May-1993,0.137169685738975,0
AWHMAN,1,1,9.93936138636446,01-Mar-1984,5,0.230973825701995,0.150177141084252,0.650191166154092,-34.9808833845908,01-Mar-1984,0.0273846586361877,1
HOUST,1,1,29.5546581712756,01-Apr-1992,5,0.0781172216677596,0.0471653192085691,0.603776199429723,-39.6223800570277,01-Apr-1992,2.0768573698593e-06,1
HOUSTNE,1,1,7.46886448950853,01-Jun-1991,5,0.157236500273491,0.123097480867751,0.78288107820792,-21.711892179208,01-Jun-1991,0.0847398745087331,0
HOUSTMW,1,1,14.5699697325725,01-Apr-1992,5,0.14217457284696,0.098756486733086,0.694614267203669,-30.5385732796331,01-Apr-1992,0.00308557403125698,1
HOUSTS,1,1,13.9273220358318,01-Jan-1991,5,0.0924667616785241,0.0671616288120622,0.726332658275204,-27.3667341724796,01-Jan-1991,0.00419228932133719,1
HOUSTW,1,1,11.1954621180598,01-Feb-1993,5,0.113081957589916,0.0840817354391491,0.743546868405531,-25.6453131594469,01-Feb-1993,0.0152477463051028,1
PERMIT,1,1,42.0165619298468,01-Jun-1991,5,0.0634767399368894,0.032807808623708,0.516847724951322,-48.3152275048678,01-Jun-1991,4.28173585476088e-09,1
PERMITNE,1,1,14.90994849144,01-Jan-1985,5,0.113798185341128,0.0786125784928396,0.690806960209304,-30.9193039790696,01-Jan-1985,0.0026227644627721,1
PERMITMW,1,1,35.9547212426657,01-Apr-1992,5,0.104324994715135,0.0538298705443479,0.515982490019128,-48.4017509980872,01-Apr-1992,8.73432853820688e-08,1
PERMITS,1,1,15.0236805240922,01-Feb-1991,5,0.0747001902737474,0.0533312389778165,0.713937123618802,-28.6062876381198,01-Feb-1991,0.00248385753810021,1
PERMITW,1,1,9.02967036412927,01-Aug-1991,5,0.0867651018155691,0.0628582533173994,0.724464698387758,-27.5535301612242,01-Aug-1991,0.0416722392388605,1
ACOGNO,0,0,NaN,,NaN,NaN,NaN,NaN,NaN,,NaN,0
AMDMNOx,1,1,6.46916674937828,01-May-1992,5,0.0314914960030189,0.0251675142526914,0.799184460791533,-20.0815539208467,01-May-1992,0.132288367673777,0
ANDENOx,0,0,NaN,,NaN,NaN,NaN,NaN,NaN,,NaN,0
AMDMUOx,1,1,6.87631899047157,01-Jun-1969,5,0.00817660045455918,0.00637808954334948,0.780041727463047,-21.9958272536953,01-Jun-1969,0.110455841751939,0
BUSINVx,1,1,13.351386357829,01-Mar-1993,5,0.00373919672104426,0.00237703304907242,0.635706871396854,-36.4293128603146,01-Mar-1993,0.00551313926007058,1
ISRATIOx,1,1,18.543098667688,01-Mar-1992,5,0.0179277044473635,0.0109507097483987,0.610826097705394,-38.9173902294606,01-Mar-1992,0.00045602130217326,1
M1SL,1,1,35.6574525110031,01-Apr-1966,5,0.00208498172591966,0.00395756747966215,1.89813053537269,89.8130535372689,01-Apr-1966,1.01231346305575e-07,1
M2SL,1,1,23.5797038003242,01-Apr-1966,5,0.00133491784471034,0.00213150581680009,1.59673183278376,59.6731832783759,01-Apr-1966,3.92122204078138e-05,1
M2REAL,1,1,17.7734881354855,01-Jul-1993,5,0.00298830237468732,0.00200795336250414,0.671937813091702,-32.8062186908298,01-Jul-1993,0.00066172399894493,1
BOGMBASE,1,1,1.2602011093251,01-Jul-1978,5,0.00422995290987052,0.0047645736176604,1.12638928120035,12.6389281200355,01-Jul-1978,0.960890322051112,0
TOTRESNS,1,1,48.1519058756936,01-Dec-1968,5,0.007830368404072,0.016817279346419,2.14769963283893,114.769963283893,01-Dec-1968,2.00301775166167e-10,1
NONBORRES,1,1,39.3728935828462,01-Dec-1968,5,0.00886340627720402,0.01959615482596,2.21090562850083,121.090562850083,01-Dec-1968,1.59726128989846e-08,1
BUSLOANS,1,1,11.1975107830826,01-May-1966,5,0.00363051445298376,0.0050398409086678,1.38818918749264,38.8189187492637,01-May-1966,0.0152331179353432,1
REALLN,1,1,8.22975186218776,01-Oct-1993,5,0.00233777124329792,0.00361847046198071,1.5478291438285,54.7829143828502,01-Oct-1993,0.0600678019050087,0
