series_name,include_main_mod,cvmod_found,cvmod_supw_stat,cvmod_break_date,cvmod_hac_lag,cvmod_mu1,cvmod_mu2,cvmod_ratio,cvmod_pct_change,cvmod_hansen_pval,cvmod_hansen_sig5
USCONS,1,1,10.328667952363,01-Nov-2021,5,0.00599267132620015,0.0022739727796686,0.379458951757745,-62.0541048242255,0.0228549076086839,1
MANEMP,1,1,3.62048388621398,01-Dec-2021,5,0.00327173719550469,0.00182575730727179,0.55803910833069,-44.196089166931,0.439735787428937,0
DMANEMP,1,1,2.14756453002755,01-Sep-2019,5,0.00195759395104547,0.00557847376807397,2.84965825782959,184.965825782958,0.75288059921866,0
NDMANEMP,1,1,1.59729182225673,01-Nov-2019,5,0.0018214459371735,0.00429755882385251,2.35942156511185,135.942156511185,0.887393937692817,0
SRVPRD,1,1,1.94870392052603,01-Mar-2008,5,0.00119528901550279,0.00287930848019967,2.40888056600145,140.888056600145,0.801813812928118,0
USTPU,1,1,2.29167285066864,01-Mar-2008,5,0.00171184046350675,0.00324259729804934,1.89421699461806,89.4216994618062,0.717884321255299,0
USWTRADE,1,1,1.53262773823238,01-Jan-2008,5,0.00126229011260876,0.00179483013952269,1.42188401984179,42.1884019841786,0.902521053909559,0
USTRADE,1,1,1.62478161630079,01-Oct-2007,5,0.00207258637929567,0.00336555487945399,1.6238429978478,62.3842997847796,0.880872322224769,0
USFIRE,1,1,2.35715668028846,01-Feb-2004,5,0.00103062193295249,0.00135626922379746,1.31597162881258,31.5971628812584,0.702186225388979,0
USGOVT,1,1,2.67890667059893,01-Oct-2021,5,0.00230159864632133,0.0015263064779071,0.663150580291926,-33.6849419708074,0.627530121205343,0
CES0600000007,1,1,2.93665596464317,01-Aug-2017,5,0.178038454106604,0.232296988515336,1.30475738896409,30.4757388964088,0.571288933712593,0
AWOTMAN,1,1,2.02718730666622,01-Jun-2006,5,0.0829699616326806,0.105828363174583,1.27550213465326,27.5502134653255,0.782452432379509,0
AWHMAN,1,1,3.11562681120046,01-Dec-2019,5,0.151228303619186,0.238276599234242,1.57560849081701,57.5608490817006,0.534327848933245,0
HOUST,1,1,11.3129009856092,01-Jan-2004,5,0.0492802239727227,0.0737602093601708,1.49675069254957,49.6750692549573,0.0144311045609229,1
HOUSTNE,1,1,49.2312190093337,01-Dec-2006,5,0.111142554512146,0.236101516538766,2.12431248836344,112.431248836344,1.16774701020006e-10,1
HOUSTMW,1,1,24.1264281151199,01-Jan-2007,5,0.111124343238665,0.174496949419022,1.57028554080405,57.0285540804052,2.99999020556552e-05,1
HOUSTS,1,1,9.83489587543974,01-Nov-2004,5,0.0697043343940851,0.0936965529314872,1.34419980831835,34.4199808318348,0.0287429555226568,1
HOUSTW,1,1,27.9225480102277,01-Dec-2005,5,0.0850400228419473,0.135805035906802,1.59695436770055,59.6954367700551,4.64466900274019e-06,1
PERMIT,1,1,14.9960169218495,01-Apr-2007,5,0.0349361766948811,0.0529107196036312,1.51449656514314,51.4496565143139,0.00251695813602015,1
PERMITNE,1,1,29.5065222285064,01-Dec-2006,5,0.0701950081083158,0.163529401946218,2.32964432020409,132.964432020409,2.12679281497152e-06,1
PERMITMW,1,1,18.3682339004922,01-Jan-2007,5,0.0568077078107583,0.0883687616725227,1.55557696443065,55.5576964430648,0.00049631160757535,1
PERMITS,1,1,10.3208183795557,01-Apr-2006,5,0.0433725806377289,0.0588814917390826,1.35757409112666,35.7574091126663,0.0229385266795517,1
PERMITW,1,1,30.7336586134172,01-Oct-2006,5,0.0529464533755542,0.094151543139917,1.77824079116482,77.8240791164824,1.16013536666237e-06,1
ACOGNO,1,1,4.66931773075983,01-Jul-2004,5,0.0137672598007803,0.0192253202242028,1.39645219908708,39.6452199087081,0.287077107717247,0
AMDMNOx,1,1,5.95101017747506,01-Mar-2005,5,0.0277602596206188,0.0392234697317056,1.41293598358758,41.2935983587582,0.166029853948602,0
ANDENOx,1,1,23.9673224456213,01-Jul-2004,5,0.0433540220555155,0.0823853852471697,1.90029393678109,90.0293936781089,3.24321992756227e-05,1
AMDMUOx,1,1,10.2234729182921,01-Jan-2015,5,0.0076454034946413,0.00512100729195476,0.669815176601744,-33.0184823398256,0.0240007966138237,1
BUSINVx,1,1,3.83789110263253,01-Dec-2011,5,0.00386932735775203,0.00301284345642844,0.778647857331672,-22.1352142668328,0.403389329298917,0
ISRATIOx,1,1,2.24995350211749,01-Aug-2006,5,0.0113126345723138,0.0164233807998382,1.45177329779858,45.1773297798577,0.727957376229742,0
M1SL,1,1,17.2872379997885,01-May-2020,5,0.0261272896512103,0.00522793601800409,0.200094846721383,-79.9905153278617,0.000836848283790714,1
M2SL,1,1,2.79913461334912,01-Jan-2020,5,0.003004147510251,0.00498146559127504,1.65819606869399,65.8196068693991,0.600868213667659,0
M2REAL,1,1,2.5484129870706,01-May-2010,5,0.00514660331901822,0.00397224932731081,0.771819602383611,-22.8180397616389,0.657264560579135,0
BOGMBASE,1,1,14.7082694447457,01-Aug-2008,5,0.0108050907846318,0.0238421363563409,2.20656511190556,120.656511190556,0.00288827560504856,1
TOTRESNS,1,1,3.95592867245923,01-Sep-2020,5,0.0528731438069344,0.0359656242282052,0.680224810530149,-31.9775189469851,0.384731790279236,0
NONBORRES,1,1,5.29042366643155,01-May-2010,5,0.494735684724571,0.0394340219018234,0.0797072520123086,-92.0292747987691,0.220808218321433,0
BUSLOANS,1,1,1.83043876939219,01-Jul-2006,5,0.00617714201118153,0.0078249995112663,1.26676697688055,26.6766976880555,0.830962931766118,0
REALLN,1,1,31.1253617330581,01-Jul-2013,5,0.0058189644547291,0.00208917021578397,0.35902783597279,-64.097216402721,9.55915889777614e-07,1
NONREVSL,1,1,1.63556991329804,01-Sep-2011,5,0.00410162176375488,0.00281926684381866,0.68735417505629,-31.264582494371,0.878300120767165,0
CONSPI,1,1,10.4850742523209,01-Nov-2021,5,1.37308579411077,0.560568988308549,0.408254888888121,-59.1745111111879,0.0212497748346978,1
S&P 500,1,1,4.11534272866401,01-Jun-2003,5,0.0397197868989181,0.0304188459254749,0.765836080714307,-23.4163919285693,0.360704298065652,0
S&P div yield,1,1,4.22443267351643,01-Aug-2007,5,0.0477204890971392,0.0663417848756061,1.39021594561954,39.0215945619535,0.345017818792185,0
S&P PE ratio,1,1,3.02877246272316,01-Jan-2012,5,0.0433443489576252,0.0330267868907005,0.761962924463082,-23.8037075536918,0.55204469645361,0
FEDFUNDS,1,1,8.74383682644162,01-Mar-2009,5,0.127209787072813,0.0636002028637921,0.499963126480106,-50.0036873519894,0.0475081862533345,1
CP3Mx,1,1,9.36718533438301,01-Jun-2009,5,0.150772708682912,0.0638964901134187,0.423793474771342,-57.6206525228658,0.0356776252201918,1
TB3MS,1,1,15.4741479401258,01-Mar-2009,5,0.16909971685269,0.0644029247498644,0.380857673499054,-61.9142326500946,0.00200177393586531,1
TB6MS,1,1,14.3042110601485,01-Feb-2009,5,0.166498767378146,0.0714302161660429,0.429013483347976,-57.0986516652024,0.00350293258896661,1
GS1,1,1,14.4641423165108,01-Feb-2009,5,0.185868075367017,0.0953346422875279,0.512915637068275,-48.7084362931725,0.0032455138826033,1
