series_name,include_main_full_ext,cvfull_found,cvfull_supw_stat,cvfull_break_date,cvfull_hac_lag,cvfull_mu1,cvfull_mu2,cvfull_ratio,cvfull_pct_change,cvfull_hansen_pval,cvfull_hansen_sig5
HOUSTS,1,1,3.50006840087233,01-Apr-1984,6,0.0966006916634784,0.0843180412948597,0.872851320657133,-12.7148679342867,0.460994291836979,0
HOUSTW,1,1,13.7477667441262,01-May-2008,6,0.10843188215869,0.141979195197949,1.30938606221151,30.938606221151,0.0045663737783006,1
PERMIT,1,1,15.5309085525955,01-Apr-1991,6,0.0636990700831261,0.0450124610624321,0.706642357630836,-29.3357642369164,0.00194802744048894,1
PERMITNE,1,1,16.0692657266698,01-Jul-2008,6,0.0996639453055965,0.16453531064226,1.65090103685691,65.090103685691,0.0015043853876735,1
PERMITMW,1,1,19.0257801244927,01-Mar-1990,6,0.107326066926671,0.0750004907617737,0.698809645312141,-30.1190354687859,0.00036091074367417,1
PERMITS,1,1,15.6305653023539,01-Jun-1991,6,0.074747836272814,0.055383448339745,0.740937144155009,-25.9062855844991,0.00185710311840648,1
PERMITW,1,1,5.00565161796383,01-Sep-2007,6,0.0787282847732739,0.0951667221729598,1.20879963849113,20.8799638491125,0.249231921730333,0
ACOGNO,0,0,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,0
AMDMNOx,1,1,3.56909274581986,01-Mar-2005,6,0.0313741772325403,0.0391695712095062,1.24846528784445,24.8465287844449,0.448709329321492,0
ANDENOx,1,1,12.3923690012541,01-Jun-2008,6,0.0607297621901353,0.0874907010461975,1.44065607851844,44.0656078518436,0.00868266650115168,1
AMDMUOx,1,1,13.0600401090919,01-Nov-2014,6,0.00712012609100307,0.00511258299147694,0.718046692731629,-28.1953307268371,0.00633046789852221,1
BUSINVx,1,1,5.85484906594097,01-May-1972,6,0.00287507150022537,0.00368687977323303,1.28236107273994,28.2361072739941,0.173123926938592,0
ISRATIOx,1,1,4.83254279766624,01-Apr-1987,6,0.0187097749032417,0.0142113091466408,0.759566014029306,-24.0433985970694,0.268105419477509,0
M1SL,1,1,4.97142630425412,01-Dec-1969,6,0.00266187553479018,0.0107886948377268,4.05304256217872,305.304256217872,0.252864591385109,0
M2SL,1,1,33.4004865693384,01-Jan-1970,6,0.00137722296273799,0.00285045569593308,2.06971258325975,106.971258325975,3.10019161009478e-07,1
