series_name,fred_group,include_main_hist,include_main_2007,include_main_full_ext,hist_uv_gamma,hist_uv_abrupt,hist_uv_smooth_mid,hist_uv_lag_mo,hist_cv_gamma,hist_cv_abrupt,hist_cv_smooth_mid,hist_cv_lag_mo,p2007_uv_gamma,p2007_uv_abrupt,p2007_uv_smooth_mid,p2007_uv_lag_mo,p2007_cv_gamma,p2007_cv_abrupt,p2007_cv_smooth_mid,p2007_cv_lag_mo,full_uv_gamma,full_uv_abrupt,full_uv_smooth_mid,full_uv_lag_mo,full_cv_gamma,full_cv_abrupt,full_cv_smooth_mid,full_cv_lag_mo
M2SL,Money and Credit,1,1,1,100 | 20,1 | 1,01-Apr-1966 | 01-Aug-1967,53 | -29,100 | 100,1 | 1,01-Feb-1966 | 01-Dec-1987,-2 | 6,100 | 100,1 | 1,01-Jan-1966 | 01-Oct-1999,-3 | -3,100 | 100,1 | 1,01-Dec-1965 | 01-Dec-1999,-4 | -3,100 | 100,1 | 1,01-Jan-1966 | 01-Aug-1999,-3 | -5,100 | 100 | 100,1 | 1 | 1,01-Aug-1969 | 01-Jan-1988 | 01-Nov-1999,-5 | 7 | -2
M2REAL,Money and Credit,1,1,1,100 | 100 | 100 | 100 | 100 | 100 | 100,1 | 1 | 1 | 1 | 1 | 1 | 1,01-Jun-1960 | 01-May-1969 | 01-Apr-1979 | 01-Feb-1983 | 01-Sep-1984 | 01-Mar-1992 | 01-Jun-1995,0 | 19 | 64 | 0 | -1 | -13 | 0,100 | 20 | 100 | 100,1 | 1 | 1 | 1,01-Apr-1972 | 01-May-1981 | 01-Jun-1983 | 01-Nov-1994,27 | 52 | 1 | 16,100 | 100 | 100 | 100,1 | 1 | 1 | 1,01-Jun-1960 | 01-Apr-1969 | 01-Mar-1979 | 01-Jul-1983,0 | 18 | 63 | 4,20 | 100,1 | 1,01-Apr-1991 | 01-Jan-2000,95 | -2,100 | 100 | 100,1 | 1 | 1,01-May-1969 | 01-Jun-1983 | 01-Mar-2019,3 | 3 | -6,100 | 20 | 100 | 100 | 100,1 | 1 | 1 | 1 | 1,01-Jun-1972 | 01-Jul-1981 | 01-Aug-1983 | 01-Feb-1995 | 01-Dec-1999,27 | 52 | 1 | 12 | -5
BOGMBASE,Money and Credit,1,1,1,1 | 100,0 | 1,01-Jan-1971 | 01-Jun-1992,-11 | 1,,,,,1 | 100,0 | 1,01-Apr-1969 | 01-Jun-1992,-32 | 1,,,,,100,1,01-Aug-2007,-12,100 | 50,1 | 1,01-Dec-2006 | 01-Apr-2011,-20 | -48
TOTRESNS,Money and Credit,1,1,1,5,0,01-Apr-1965,-80,100 | 100,1 | 1,01-Oct-1968 | 01-Apr-1990,-2 | -6,5 | 100,0 | 1,01-Jul-1965 | 01-Apr-2000,-77 | -13,100 | 100 | 100 | 100,1 | 1 | 1 | 1,01-Oct-1968 | 01-Jan-1980 | 01-May-1990 | 01-Mar-2001,-2 | 15 | -5 | -5,10 | 100 | 100,0 | 1 | 1,01-Nov-1966 | 01-Dec-1989 | 01-Feb-2000,-61 | 71 | -15,100 | 100 | 100 | 100,1 | 1 | 1 | 1,01-May-1978 | 01-Oct-1990 | 01-May-1993 | 01-Dec-2000,-5 | 45 | 1 | -8
NONBORRES,Money and Credit,1,1,1,50,1,01-Oct-1970,-14,50,1,01-Nov-1978,-14,1,0,01-Aug-2000,-9,100 | 100,1 | 1,01-Aug-1979 | 01-Jan-2001,-5 | -7,,,,,,,,
BUSLOANS,Money and Credit,1,1,1,,,,,100 | 100,1 | 1,01-Oct-1972 | 01-Mar-1976,77 | 10,,,,,,,,,,,,,50,1,01-Jan-2016,-46
REALLN,Money and Credit,1,1,1,,,,,,,,,20,1,01-Aug-2000,10,20,1,01-Aug-1999,1,100 | 20 | 100 | 100 | 20 | 100,1 | 1 | 1 | 1 | 1 | 1,01-Jun-1970 | 01-Dec-1997 | 01-Jun-2006 | 01-May-2010 | 01-Sep-2021 | 01-Nov-2023,-195 | 18 | 35 | 0 | 62 | 2,100 | 100 | 100 | 100 | 10 | 100,1 | 1 | 1 | 1 | 0 | 1,01-Aug-1969 | 01-Jun-1999 | 01-Mar-2010 | 01-Feb-2010 | 01-Dec-2021 | 01-Sep-2023,-207 | -1 | 44 | -34 | 26 | 1
NONREVSL,Money and Credit,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,
CONSPI,Money and Credit,1,1,1,,,,,,,,,,,,,,,,,,,,,50,1,01-Feb-2016,-45
S&P 500,Stock Market,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,
