series_name,include_main_mod,uvmod_break_found,uvmod_break_date,uvmod_mu1,uvmod_mu2,uvmod_delta,uvmod_ratio_break,uvmod_pct_change_break,uvmod_ssr_nobreak,uvmod_ssr_best,uvmod_ssr_gain_pct,uvmod_supw_found,uvmod_supw_stat,uvmod_supw_hac_lag,uvmod_supw_break_date,uvmod_supw_mu1,uvmod_supw_mu2,uvmod_supw_ratio,uvmod_supw_pct_change,uvmod_hansen_pval,uvmod_hansen_sig5
PERMITW,1,1,01-Mar-2013,0.623990093978386,0.190711682616623,-0.433278411361763,0.305632548428291,-69.4367451571709,37.1628266431551,22.0036144666671,40.7913324840701,1,48.2570903041073,5,01-Sep-2014,0.596143441857296,0.171926540737913,0.288397940271343,-71.1602059728657,1.90043092374026e-10,1
ACOGNO,1,1,01-Dec-2019,0.0168551413210563,0.0245317417324904,0.00767660041143416,1.45544562725465,45.5445627254645,0.181858676153663,0.17855858529656,1.814645815586,1,2.51497013202831,5,01-Jun-2004,0.014855422380993,0.0195090044205425,1.3132581437404,31.3258143740401,0.665010195169686,0
AMDMNOx,1,1,01-Jul-2020,0.0423441351438935,0.0285858656447245,-0.013758269499169,0.675084413640383,-32.4915586359617,0.599988390213707,0.590152906242213,1.63927904804802,1,3.86879600980804,5,01-Jul-2020,0.0423441351438935,0.0285858656447245,0.675084413640383,-32.4915586359617,0.398432082233131,0
ANDENOx,1,1,01-Jun-2012,0.0654894395256076,0.105311289331202,0.0398218498055941,1.60806521011717,60.8065210117168,2.57115865807315,2.44271050059606,4.99573050748035,1,15.3538358853728,5,01-Apr-2005,0.0555286769732554,0.0945545912291762,1.70280648456143,70.2806484561431,0.0021206079158882,1
AMDMUOx,1,1,01-Dec-2009,0.011929762083767,0.00702947964135737,-0.00490028244240963,0.5892388793673,-41.07611206327,0.0232287945582927,0.0213504624824223,8.08622277474055,1,16.1461980861469,5,01-Apr-2020,0.00992096304963596,0.00565620802192725,0.570126911432736,-42.9873088567264,0.00144977984724115,1
BUSINVx,1,1,01-Dec-2019,0.0046704155068001,0.00676090053782472,0.00209048503102462,1.4476015095404,44.7601509540401,0.00939913819009863,0.00915706288303649,2.57550535130073,1,2.07102870787455,5,01-May-2011,0.00604764972202387,0.00434407377768749,0.718307768696917,-28.1692231303083,0.771657687490617,0
ISRATIOx,1,1,01-Feb-2020,0.0119650085537849,0.0251140826752694,0.0131490741214845,2.09896069546269,109.896069546269,0.210502282939154,0.201120818600697,4.45670432047951,1,2.62093174981662,5,01-Jun-2006,0.0107831578563461,0.0163154492282567,1.51304927977613,51.3049279776125,0.6406417082557,0
M1SL,1,1,01-Feb-2020,0.0124375527455276,0.0459410272477927,0.033503474502265,3.69373526993181,269.373526993181,4.08459614470206,4.02231043737172,1.52489267295418,1,3.73146164075662,5,01-Jul-2021,0.0230565952074692,0.00319655612468801,0.138639556097706,-86.1360443902294,0.42085791821176,0
M2SL,1,1,01-Feb-2020,0.00361442462888474,0.00497859170344627,0.00136416707456153,1.37742302430649,37.7423024306487,0.00864759471051868,0.00854433192623201,1.19412146086199,1,3.40574806854828,5,01-Jul-2021,0.00416057226455113,0.00266719968496391,0.641065583138395,-35.8934416861605,0.478214455461726,0
M2REAL,1,1,01-Feb-2020,0.00413277344246132,0.00872098612771907,0.00458821268525775,2.11020184124228,111.020184124228,0.0172246516050053,0.0160823852957884,6.63157859683516,1,4.07055097484349,5,01-Apr-2020,0.00459733056296224,0.0070829234787979,1.54066003777507,54.0660037775075,0.36732159425461,0
BOGMBASE,1,1,01-Aug-2008,0.00817653934082015,0.0302146108340953,0.0220380714932752,3.6952810442987,269.52810442987,0.295793360288831,0.259563380680708,12.2484086771743,1,25.4604365326085,5,01-Jul-2008,0.00816784894897657,0.0301144266606131,3.68694705897891,268.694705897891,1.55925487822506e-05,1
TOTRESNS,1,1,01-Mar-2010,0.0835694160862476,0.0414189592717309,-0.0421504568145168,0.495623413582123,-50.4376586417877,3.01780872916428,2.87758917563167,4.64640294056806,1,4.593679083855,5,01-May-2021,0.0631813483416544,0.0384944773101295,0.609269639229125,-39.0730360770875,0.296271086780998,0
NONBORRES,1,1,01-May-2009,0.577809808143911,0.0464154691378989,-0.531394339006012,0.0803300125468596,-91.966998745314,1146.03846908782,1124.31693497031,1.89535820161431,1,2.08085267240105,5,01-Mar-2010,0.545123178263099,0.0416720567371067,0.0764452116490156,-92.3554788350984,0.769242103905933,0
BUSLOANS,1,1,01-Feb-2020,0.00601435999999624,0.0126206126040135,0.00660625260401728,2.09841323166911,109.841323166911,0.0464584967381809,0.0440368039076473,5.21259403674044,1,2.27075129332692,5,01-Nov-2019,0.0060491605471766,0.0122347518586848,2.02255366893764,102.255366893764,0.7229292016207,0
REALLN,1,1,01-May-2010,0.00728365495708543,0.00242512645917581,-0.00485852849790962,0.332954604997685,-66.7045395002315,0.0145932154108313,0.0127225136099275,12.818982987912,1,24.1129078019032,5,01-Feb-2013,0.00656868003738383,0.00217489611026132,0.33110093624343,-66.889906375657,3.01993229956388e-05,1
