series_name,include_main_hist,uv_mb_nbreaks_hist,uv_mb_break_dates_hist,uv_mb_break_stats_hist,uv_mb_break_pvals_hist,cv_mb_nbreaks_hist,cv_mb_break_dates_hist,cv_mb_break_stats_hist,cv_mb_break_pvals_hist
USGOVT,1,2,01-Jan-1967 | 01-Jul-1982,2.016 | 7.253,0.15566 | 0.007076,1,01-Nov-1990,32.376,0
CES0600000007,1,4,01-Mar-1974 | 01-Oct-1980 | 01-Feb-1987 | 01-Jul-1993,1.941 | 0.44 | 2.897 | 133.297,0.16355 | 0.50698 | 0.088726 | 0,1,01-Mar-1984,12.303,0.000452
AWOTMAN,1,0,,,,0,,,
AWHMAN,1,5,01-Oct-1974 | 01-Jun-1983 | 01-Nov-1986 | 01-May-1989 | 01-Aug-1993,6.208 | 28.474 | 126.811 | 17.134 | 94.602,0.012718 | 0 | 0 | 3.5e-05 | 0,1,01-Mar-1984,9.939,0.001618
HOUST,1,4,01-Feb-1964 | 01-Nov-1970 | 01-Oct-1982 | 01-Aug-1993,0 | 20.341 | 7.192 | 25.594,0.98604 | 6e-06 | 0.007324 | 0,1,01-Feb-1991,27.333,0
HOUSTNE,1,0,,,,0,,,
HOUSTMW,1,5,01-Nov-1970 | 01-Jan-1977 | 01-Dec-1983 | 01-Dec-1991 | 01-Sep-1998,10.744 | 7.784 | 23.462 | 28.234 | 12.35,0.001046 | 0.005272 | 1e-06 | 0 | 0.000441,1,01-Feb-1991,13.853,0.000198
HOUSTS,1,2,01-Feb-1992 | 01-Apr-1998,30.047 | 21.172,0 | 4e-06,1,01-Mar-1984,8.113,0.004395
HOUSTW,1,5,01-May-1965 | 01-Nov-1982 | 01-Sep-1990 | 01-Jul-1993 | 01-Oct-1997,30.212 | 10.798 | 3.274 | 51.198 | 29.856,0 | 0.001016 | 0.070405 | 0 | 0,1,01-Jan-1985,9.177,0.002451
PERMIT,1,5,01-Aug-1961 | 01-Aug-1969 | 01-Aug-1975 | 01-Dec-1991 | 01-Dec-1997,23.631 | 13.577 | 4.277 | 25.462 | 38.81,1e-06 | 0.000229 | 0.03864 | 0 | 0,2,01-Jan-1966 | 01-Mar-1991,14.911 | 48.687,0.000113 | 0
PERMITNE,1,0,,,,1,01-Jan-1985,14.91,0.000113
PERMITMW,1,4,01-Nov-1970 | 01-Feb-1977 | 01-Dec-1983 | 01-Dec-1989,9.337 | 5.06 | 26.343 | 1.431,0.002246 | 0.024486 | 0 | 0.23154,1,01-May-1990,31.75,0
PERMITS,1,5,01-Aug-1976 | 01-Oct-1982 | 01-Oct-1988 | 01-Aug-1995 | 01-Dec-1997,23.241 | 10.294 | 10.428 | 3.362 | 121.08,1e-06 | 0.001334 | 0.001241 | 0.06673 | 0,3,01-Apr-1966 | 01-Feb-1991 | 01-Nov-1997,18.763 | 29.679 | 10.722,1.5e-05 | 0 | 0.001059
PERMITW,1,3,01-Dec-1965 | 01-Jan-1987 | 01-Aug-1993,19.943 | 7.649 | 21.829,8e-06 | 0.005682 | 3e-06,2,01-May-1978 | 01-Feb-1987,8.038 | 10.232,0.004582 | 0.00138
ACOGNO,0,NaN,,,,NaN,,,
AMDMNOx,1,0,,,,0,,,
ANDENOx,0,NaN,,,,NaN,,,
AMDMUOx,1,1,01-Apr-1979,23.224,1e-06,0,,,
BUSINVx,1,3,01-Oct-1966 | 01-Dec-1972 | 01-Mar-1983,6.263 | 24.646 | 11.763,0.012332 | 1e-06 | 0.000604,1,01-Jun-1992,12.51,0.000405
ISRATIOx,1,1,01-Feb-1987,17.76,2.5e-05,1,01-Feb-1987,16.187,5.7e-05
M1SL,1,1,01-Dec-1977,9.279,0.002317,1,01-Feb-1979,17.659,2.6e-05
M2SL,1,2,01-Nov-1961 | 01-Jan-1970,1.361 | 5.786,0.24339 | 0.016158,2,01-Apr-1966 | 01-Jun-1987,27.224 | 10.785,0 | 0.001023
M2REAL,1,5,01-Jun-1960 | 01-Oct-1967 | 01-Dec-1973 | 01-Mar-1983 | 01-Oct-1993,15.771 | 2.91 | 1.693 | 10.565 | 3.406,7.1e-05 | 0.088059 | 0.19325 | 0.001152 | 0.064941,4,01-Jan-1970 | 01-Jan-1977 | 01-May-1983 | 01-Jul-1993,10.208 | 0.158 | 8.205 | 3.931,0.001398 | 0.6908 | 0.004177 | 0.047416
BOGMBASE,1,2,01-Dec-1971 | 01-May-1992,13.22 | 30.673,0.000277 | 0,0,,,
TOTRESNS,1,1,01-Dec-1971,38.073,0,2,01-Dec-1968 | 01-Oct-1990,30.094 | 9.397,0 | 0.002174
NONBORRES,1,1,01-Dec-1971,41.441,0,1,01-Jan-1980,18.396,1.8e-05
BUSLOANS,1,0,,,,2,01-May-1966 | 01-May-1975,11.295 | 2.016,0.000777 | 0.15564
REALLN,1,0,,,,0,,,
NONREVSL,1,0,,,,0,,,
CONSPI,1,0,,,,0,,,
S&P 500,1,0,,,,0,,,
S&P div yield,1,3,01-Oct-1973 | 01-Nov-1982 | 01-Mar-1991,21.475 | 9.437 | 37.523,4e-06 | 0.002127 | 0,3,01-Oct-1973 | 01-Oct-1982 | 01-Feb-1991,20.217 | 9.592 | 47.071,7e-06 | 0.001954 | 0
S&P PE ratio,1,0,,,,0,,,
FEDFUNDS,1,5,01-Mar-1969 | 01-Oct-1978 | 01-Dec-1984 | 01-Nov-1987 | 01-Jul-1992,11.728 | 6.546 | 10.985 | 1.431 | 13.351,0.000616 | 0.010515 | 0.000918 | 0.23164 | 0.000258,5,01-Mar-1969 | 01-Oct-1978 | 01-Jan-1985 | 01-Dec-1987 | 01-Sep-1992,10.75 | 7.057 | 11.171 | 1.925 | 12.583,0.001043 | 0.007895 | 0.000831 | 0.16529 | 0.000389
CP3Mx,1,5,01-Aug-1960 | 01-Apr-1969 | 01-Jul-1979 | 01-Sep-1985 | 01-Jul-1992,13.031 | 32.259 | 9.734 | 15.265 | 16.528,0.006419 | 0 | 0.001809 | 9.3e-05 | 4.8e-05,5,01-Apr-1969 | 01-May-1977 | 01-Jun-1983 | 01-Nov-1989 | 01-Dec-1994,42.314 | 7.242 | 9.777 | 10.171 | 7.202,0 | 0.007121 | 0.001767 | 0.001427 | 0.007282
