series_name,include_main_2007,uv2007_nobs,uv2007_mean_pre84,uv2007_mean_post84,uv2007_ratio_post_pre84,uv2007_pct_change_post84,uv2007_break_found,uv2007_break_date,uv2007_mu1,uv2007_mu2,uv2007_delta,uv2007_ratio_break,uv2007_pct_change_break,uv2007_ssr_nobreak,uv2007_ssr_best,uv2007_ssr_gain_pct,uv2007_supw_found,uv2007_supw_stat,uv2007_supw_hac_lag,uv2007_supw_break_date,uv2007_supw_mu1,uv2007_supw_mu2,uv2007_supw_ratio,uv2007_supw_pct_change,uv2007_hansen_pval,uv2007_hansen_sig5
BUSINVx,1,586,0.005254939549128,0.00429259022771444,0.816867670423868,-18.3132329576132,1,01-Dec-1972,0.00354507676415893,0.00527084578183695,0.00172576901767802,1.48680723507195,48.6807235071948,0.0157152681525825,0.0153609241404157,2.25477547520291,1,9.57235336098555,5,01-Dec-1972,0.00354507676415894,0.00527084578183695,1.48680723507194,48.6807235071943,0.0324545302104483,1
ISRATIOx,1,586,0.0182316118473934,0.0134655031952532,0.738579962537895,-26.1420037462105,1,01-Feb-1987,0.0186525246718096,0.0121753478441125,-0.00647717682769704,0.652745301686356,-34.7254698313644,0.141990944539773,0.135977086431907,4.23538143742784,1,22.573421407717,5,01-May-1991,0.0181201633389816,0.0115506635104034,0.637448089971386,-36.2551910028614,6.41497627040799e-05,1
M1SL,1,586,0.00422853181472342,0.00610450111465497,1.44364554463078,44.3645544630778,1,01-Dec-1999,0.00430296772086709,0.00947650644357645,0.00517353872270936,2.20231873867435,120.231873867435,0.024236610360894,0.02208806214052,8.86488740950628,1,19.7494612662469,5,01-Jun-1966,0.00318797113260818,0.00549730389987689,1.72438948510157,72.4389485101573,0.00025401296642813,1
M2SL,1,586,0.00226711910066049,0.00273637012270768,1.20698119561098,20.6981195610977,1,01-Jan-2000,0.00217334337431968,0.00417436305837553,0.00200101968405585,1.92071032479266,92.0710324792658,0.00459791614318451,0.00427919549275696,6.93185000557221,1,24.829278952829,5,01-Jun-1966,0.0015276241148176,0.00266916699845922,1.74726686530339,74.7266865303394,2.12546776880984e-05,1
M2REAL,1,586,0.00491913575109055,0.00391310328690057,0.795485931859687,-20.4514068140313,1,01-Mar-1983,0.00503158523444619,0.00383416857810572,-0.00119741665634048,0.762019999553427,-23.7980000446573,0.00699646229741533,0.00678644877165858,3.00171024768236,1,13.0474075174065,5,01-Feb-1969,0.00342742389232647,0.00468151359092955,1.36589862765759,36.5898627657587,0.0063684953557992,1
BOGMBASE,1,586,0.011465377109431,0.0104639853753537,0.912659503083104,-8.73404969168959,1,01-May-1992,0.0123628169297029,0.00800826851209013,-0.00435454841761273,0.647770533012544,-35.2229466987456,0.062270785951232,0.059856419800163,3.87720520013973,1,13.207764550766,5,01-May-1992,0.0123628169297029,0.00800826851209013,0.647770533012544,-35.2229466987456,0.00590209752620385,1
TOTRESNS,1,586,0.0249214404283886,0.045233761059571,1.81505403708704,81.5054037087044,1,01-Dec-1999,0.0296450802054775,0.061748157626378,0.0321030774209004,2.08291416985166,108.291416985165,1.26188445210576,1.17915445115331,6.55606785664045,1,32.0373616709459,5,01-Dec-1968,0.017910119828709,0.0391891416517706,2.18810047205561,118.810047205561,6.0885145958256e-07,1
NONBORRES,1,586,0.0274517300136846,0.0473241798608126,1.72390519057348,72.3905190573475,1,01-Dec-1999,0.0318773936127539,0.0644797549348189,0.032602361322065,2.02274237718798,102.274237718798,1.28411831196353,1.19879497944484,6.64450710840047,1,40.9161798066639,5,01-Dec-1968,0.0190739467525209,0.041793276981185,2.19111846769004,119.111846769004,7.4081499823464e-09,1
BUSLOANS,1,586,0.00568698529910217,0.00594526370335005,1.04541569753814,4.54156975381423,1,01-Mar-1998,0.0056029338669978,0.00665967164166914,0.00105673777467134,1.18860436331325,18.8604363313245,0.0151878767778266,0.0150833095600571,0.688491349378102,1,2.79513900322859,5,01-Dec-1997,0.00559991533328778,0.0066449751698763,1.18662064949024,18.662064949024,0.601742485388469,0
REALLN,1,586,0.00244741166146339,0.00428647256296438,1.75143096294694,75.1430962946936,1,01-Oct-1999,0.00263911974170184,0.00689737080917688,0.00425825106747505,2.61351188435623,161.351188435623,0.011412855010845,0.00993302847876946,12.9663132552665,1,19.047729164013,5,01-Dec-1995,0.00250151308073019,0.00595947216366033,2.38234699213357,138.234699213357,0.000357089697307522,1
NONREVSL,1,586,0.00460026066507878,0.0045067010640048,0.979662108761747,-2.03378912382532,1,01-May-1975,0.00366924267911954,0.00499566563222135,0.00132642295310181,1.36149774465724,36.1497744657241,0.0332629755186805,0.0330340586430619,0.688203241138557,1,3.49967834192201,5,01-May-1975,0.00366924267911956,0.00499566563222135,1.36149774465723,36.1497744657235,0.461064474142754,0
CONSPI,1,586,0.81495399906662,0.753292933401256,0.92433798013632,-7.56620198636796,1,01-Dec-1994,0.842770155716213,0.624445446047711,-0.218324709668502,0.740943947542895,-25.9056052457105,424.610755081188,419.154417645383,1.2850210152498,1,6.12083079929718,5,01-Dec-1994,0.842770155716213,0.624445446047711,0.740943947542895,-25.9056052457105,0.154165026225603,0
S&P 500,1,586,0.0327081851445746,0.0310085803415608,0.94803732473993,-5.19626752600698,1,01-Feb-1991,0.0335069186256965,0.0287666017781449,-0.00474031684755161,0.858527222377403,-14.1472777622597,0.485000844528277,0.482026442144769,0.613277774062747,1,3.1589696160058,5,01-Nov-1969,0.0277452319921743,0.0330380205349283,1.19076389572979,19.0763895729792,0.52564381000885,0
