series_name,include_main_2007,cvexp2007_found,cvexp2007_stat,cvexp2007_break_date,cvexp2007_hac_lag,cvexp2007_mu1,cvexp2007_mu2,cvexp2007_ratio,cvexp2007_pct_change,cvexp2007_nobs_exp,cvexp2007_pval,cvexp2007_sig5
OILPRICEx,1,1,121.857734082277,01-Jun-1967,5,0.00611751612081037,0.0578739151973408,9.46036169818452,846.036169818453,501,0,1
PPICMM,1,1,52.9639537589589,01-Sep-1967,5,0.00935861825349606,0.0233393783536058,2.49389148284652,149.389148284652,506,1.80369053026652e-11,1
CPIAUCSL,1,1,5.26950687163563,01-Jan-1999,5,0.00159060279567526,0.00209694087639864,1.31833093849708,31.8330938497078,500,0.222789877675279,0
CPIAPPSL,1,1,56.3329914209674,01-Jun-1977,5,0.00212549745869631,0.00409409244544733,1.92618082355106,92.6180823551056,506,3.33510996597397e-12,1
CPITRNSL,1,1,29.0450862451701,01-Jan-1999,5,0.00471411158923602,0.0111705275967422,2.36959337624685,136.959337624685,500,2.67061709713357e-06,1
CPIMEDSL,1,1,65.0423088629688,01-May-1984,5,0.00240392233322619,0.00104598920140108,0.435117718631662,-56.4882281368338,506,4.21884749357559e-14,1
CUSR0000SAC,1,1,24.076400323995,01-Mar-1999,5,0.00258847235334977,0.00512431615938045,1.97966810530119,97.9668105301187,500,3.07444232026111e-05,1
CUSR0000SAD,1,1,26.2434802180727,01-Mar-1988,5,0.0025540353435381,0.00163086644153068,0.638544977718064,-36.1455022281936,503,1.06128293585472e-05,1
CUSR0000SAS,1,1,42.046140424555,01-Jan-1984,5,0.00216468187815283,0.00108955193761606,0.503331204743027,-49.6668795256973,505,4.2190819726784e-09,1
CPIULFSL,1,1,10.017104859625,01-Mar-1999,5,0.00177326134676774,0.00272581783619636,1.53717772124504,53.7177721245044,500,0.0264148258338689,1
CUSR0000SA0L2,1,1,14.7031748914997,01-Jan-1999,5,0.00204961015235553,0.0032407460675257,1.58115242735368,58.1152427353681,500,0.00289531662566822,1
CUSR0000SA0L5,1,1,5.01679628353315,01-Mar-1999,5,0.00183147721977184,0.00232819552372289,1.2712118385032,27.1211838503198,499,0.248059344856676,0
PCEPI,1,1,16.3925074370996,01-Aug-1972,5,0.00103491021154214,0.00150712306901428,1.4562838903372,45.62838903372,506,0.00128784476300448,1
DDURRG3M086SBEA,1,1,5.40915642916093,01-Apr-1997,5,0.00224497952215611,0.00187068615965363,0.833275377878278,-16.6724622121722,506,0.209864586622485,0
DNDGRG3M086SBEA,1,1,32.6772212840927,01-Sep-1998,5,0.00306302511995563,0.00624937393663776,2.0402620585522,104.02620585522,500,4.43569914687636e-07,1
DSERRG3M086SBEA,1,1,37.8120451454633,01-Dec-1972,5,0.000707694416011128,0.00122303950797023,1.72820285182382,72.8202851823822,505,3.4714820462689e-08,1
CES0600000008,1,1,30.1698772863756,01-Jun-1999,5,0.00242254055840943,0.00153207096681039,0.632423247359913,-36.7576752640087,500,1.53278046777228e-06,1
CES2000000008,1,1,59.4411922110341,01-Mar-1997,5,0.00501204251158997,0.00230012031007125,0.458918755128751,-54.1081244871249,501,7.01660951563099e-13,1
CES3000000008,1,1,28.8597845277777,01-Mar-1983,5,0.00348419185996607,0.00198576184215124,0.569934699913621,-43.0065300086379,500,2.92622454955982e-06,1
UMCSENTx,0,0,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
DTCOLNVHFNM,1,1,72.3757347393151,01-May-1976,5,0.00629029459179163,0.0172276179380542,2.73876170450506,173.876170450506,500,1.11022302462516e-15,1
DTCTHFNM,1,1,31.8018228796736,01-Jun-1971,5,0.00403372397363291,0.00793299065753971,1.96666671031409,96.6666710314089,500,6.84107217874264e-07,1
INVEST,1,1,9.55349094452001,01-Sep-1975,5,0.00943228920543292,0.00730471832713358,0.774437484691004,-22.5562515308996,500,0.0327385488619913,1
VIXCLSx,1,1,2.52673577849538,01-May-1988,5,2.83410704671117,2.37424807311114,0.837741141735039,-16.2258858264961,476,0.662279581902431,0
