series_name,include_main_hist,cvexp_found,cvexp_stat,cvexp_break_date,cvexp_hac_lag,cvexp_mu1,cvexp_mu2,cvexp_ratio,cvexp_pct_change,cvexp_nobs_exp,cvexp_pval,cvexp_sig5
AWOTMAN,1,1,4.36417573259831,01-May-1993,5,0.123037013708038,0.0896343723554758,0.728515506465191,-27.1484493534809,422,0.325795236030311,0
AWHMAN,1,1,4.53174827218325,01-Mar-1984,5,0.200328699340241,0.150676214990013,0.752144927243312,-24.7855072756688,420,0.303993964604917,0
HOUST,1,1,31.7242207286069,01-Mar-1994,5,0.0716987880226199,0.0426701373781123,0.595130525283782,-40.4869474716218,421,7.10881064347468e-07,1
HOUSTNE,1,1,3.5738191381918,01-Mar-1984,5,0.151109787921443,0.126097430860438,0.834475599462772,-16.5524400537228,418,0.447877886157875,0
HOUSTMW,1,1,14.3638690322764,01-Apr-1994,5,0.138473409697661,0.0921952280768938,0.66579734172929,-33.420265827071,419,0.00340462684020748,1
HOUSTS,1,1,6.62291240429902,01-Jul-1991,5,0.0848488092099644,0.0670972327061333,0.790785790995563,-20.9214209004437,421,0.123600481559864,0
HOUSTW,1,1,6.65067801975246,01-Feb-1993,5,0.106454488535559,0.0840817354391491,0.789837390567739,-21.0162609432261,420,0.122090551352702,0
PERMIT,1,1,33.4693139234604,01-Jun-1991,5,0.0591953049824806,0.032807808623708,0.554229911196805,-44.5770088803195,412,2.99625490862709e-07,1
PERMITNE,1,1,9.9618271369172,01-Jan-1985,5,0.109239322634927,0.0786287891168693,0.719784663803193,-28.0215336196807,410,0.0271008744469952,1
PERMITMW,1,1,29.6310723554691,01-Apr-1992,5,0.0998674400869237,0.0538298705443479,0.539013220900574,-46.0986779099426,410,1.99997823169262e-06,1
PERMITS,1,1,10.2579036368858,01-May-1990,5,0.0705439622308302,0.0526817140404795,0.74679267189582,-25.320732810418,411,0.0236196721930253,1
PERMITW,1,1,5.57704160986617,01-Aug-1991,5,0.0811969442788379,0.0628582533173994,0.774145552836794,-22.5854447163206,411,0.195246530063051,0
ACOGNO,0,0,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
AMDMNOx,1,1,4.39343889931759,01-Mar-1971,5,0.032124227413198,0.0272989928037488,0.849794532102373,-15.0205467897627,417,0.321891237031138,0
ANDENOx,0,0,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
AMDMUOx,1,1,9.11664501924218,01-Sep-1971,5,0.00811432132727147,0.00611703795948701,0.753857003287289,-24.6142996712711,420,0.0400395584891107,1
BUSINVx,1,1,13.126525179826,01-Jun-1994,5,0.00322594084790542,0.00229248553061937,0.710640907166001,-28.9359092833998,420,0.00613399913854973,1
ISRATIOx,1,1,13.7802398708661,01-Mar-1992,5,0.0169062626903471,0.0109507097483987,0.647730959170009,-35.2269040829991,423,0.00449635476787458,1
M1SL,1,1,46.00951365599,01-Apr-1966,5,0.00192661355381543,0.00384138041390874,1.99385102751994,99.3851027519939,416,5.84139847603637e-10,1
M2SL,1,1,27.8929944348599,01-Apr-1966,5,0.0012407140028606,0.00206797278209727,1.66676025041173,66.6760250411727,416,4.71278962133059e-06,1
M2REAL,1,1,17.508330480747,01-Aug-1994,5,0.00282371886801945,0.00186513120362751,0.660522980793663,-33.9477019206337,422,0.000752144055353066,1
BOGMBASE,1,1,1.35652074817108,01-Jul-1978,5,0.0039573358054849,0.00455176476859204,1.15020938134268,15.0209381342685,412,0.941550870901082,0
TOTRESNS,1,1,43.1231952331482,01-Dec-1968,5,0.007769792368621,0.0162292276235564,2.08875950007359,108.875950007359,412,2.46623010902169e-09,1
NONBORRES,1,1,33.7739875673542,01-Dec-1968,5,0.0086358221151431,0.0188581390250843,2.18371091641827,118.371091641827,412,2.57638557044082e-07,1
BUSLOANS,1,1,14.0684540024692,01-May-1966,5,0.0034072360727458,0.00486095624236399,1.42665672074981,42.665672074981,412,0.0039196911267827,1
REALLN,1,1,8.71357772880213,01-Aug-1994,5,0.00234118906326263,0.00373814976483589,1.59668854749666,59.6688547496665,421,0.0481707084595021,1
NONREVSL,1,1,3.00399812052236,01-Nov-1972,5,0.00343337139587607,0.00444604682176276,1.29495073766358,29.4950737663581,419,0.557174718325931,0
