series_name,include_main_hist,uv_smooth_found_hist,uv_smooth_gamma_hist,uv_smooth_midpoint_hist,uv_smooth_ssr_gain_hist,uv_smooth_ratio_hist,uv_smooth_pct_change_hist,uv_smooth_abrupt_hist
UEMPMEAN,1,1,100,01-Aug-1965,2.77516675727758,0.691544904899546,-30.8455095100454,1
UEMPLT5,1,1,100,01-Dec-1980,2.6834031020167,0.744835224563709,-25.5164775436291,1
UEMP5TO14,1,1,100,01-Dec-1975,4.89001809235316,0.695531558667196,-30.4468441332804,1
UEMP15OV,1,1,100,01-Jul-1976,4.61676186232505,0.693231644894537,-30.6768355105463,1
UEMP15T26,1,1,100,01-Apr-1971,4.2842955153461,0.704500474823201,-29.5499525176799,1
UEMP27OV,1,1,20,01-Sep-1979,8.51664005495862,0.567421984506044,-43.2578015493956,1
CLAIMSx,1,1,100,01-Aug-1984,4.44206876680735,0.652519411410023,-34.7480588589977,1
PAYEMS,1,1,100,01-Sep-1984,12.3760379573137,0.445020758711461,-55.4979241288539,1
USGOOD,1,1,100,01-Jun-1984,12.8806247274151,0.407880135437958,-59.2119864562042,1
CES1021000001,1,1,100,01-Mar-1987,2.63564388955194,0.394751881627765,-60.5248118372235,1
USCONS,1,1,100,01-May-1984,7.11442188397072,0.513577422649704,-48.6422577350296,1
MANEMP,1,1,100,01-May-1984,13.5037556994614,0.358557275836581,-64.1442724163419,1
DMANEMP,1,1,100,01-May-1984,11.1410146413675,0.371694720522153,-62.8305279477847,1
NDMANEMP,1,1,100,01-Feb-1984,9.23923885682639,0.482407873939699,-51.7592126060301,1
SRVPRD,1,1,100,01-Sep-1992,5.67991281517726,0.453487990890988,-54.6512009109012,1
USTPU,1,1,100,01-Jan-1993,3.81934959786533,0.542830834793178,-45.7169165206822,1
USWTRADE,1,1,100,01-Oct-1993,6.28060691870988,0.466702809198872,-53.3297190801129,1
USTRADE,1,1,20,01-Apr-1965,3.8370484096293,0.565949084733039,-43.4050915266961,1
USFIRE,1,1,100,01-May-1966,8.38247665856749,2.23646346456449,123.646346456449,1
USGOVT,1,1,100,01-May-1983,3.44444353731155,0.642211679613803,-35.7788320386197,1
CES0600000007,1,1,100,01-Sep-1993,16.0755495227167,2.15205719879381,115.20571987938,1
AWOTMAN,1,1,100,01-Apr-1982,1.09974206487716,0.772745037843872,-22.7254962156128,1
AWHMAN,1,1,100,01-Sep-1993,15.9684737005475,2.15115545298365,115.115545298365,1
HOUST,1,1,100,01-Sep-1993,9.08332164597007,0.337825157038965,-66.2174842961035,1
HOUSTNE,1,1,100,01-Feb-1980,4.373110673487,1.27889429860752,27.8894298607517,1
HOUSTMW,1,1,100,01-Oct-1985,12.3860885331663,0.460698669378732,-53.9301330621268,1
HOUSTS,1,1,100,01-Feb-1993,7.79866070186781,0.482352945757834,-51.7647054242166,1
HOUSTW,1,1,100,01-Apr-1993,11.8782034677144,0.321430561414545,-67.8569438585455,1
PERMIT,1,1,100,01-Feb-1993,7.29053092995914,0.485143789009569,-51.4856210990431,1
PERMITNE,1,1,100,01-Sep-1970,2.90821959225292,1.29820838759251,29.8208387592509,1
PERMITMW,1,1,100,01-Mar-1985,12.3453876002967,0.474683847746097,-52.5316152253903,1
PERMITS,1,1,100,01-Jun-1976,10.9085529762086,0.640766991703638,-35.9233008296362,1
PERMITW,1,1,100,01-Jun-1993,12.0683207943518,0.338439716713767,-66.1560283286233,1
ACOGNO,0,0,NaN,,NaN,NaN,NaN,0
AMDMNOx,1,1,100,01-Dec-1992,0.18078416609828,0.908248311558948,-9.17516884410522,1
ANDENOx,0,0,NaN,,NaN,NaN,NaN,0
AMDMUOx,1,1,100,01-Sep-1979,10.8577594275489,0.589374675304457,-41.0625324695543,1
BUSINVx,1,1,100,01-Jul-1972,2.34054340783461,1.49440815429548,49.440815429548,1
ISRATIOx,1,1,20,01-Dec-1992,3.32980255191814,0.470035366544253,-52.9964633455747,1
M1SL,1,1,100,01-May-1978,2.76934813625401,1.38578486581412,38.578486581412,1
M2SL,1,1,100,01-Jan-1966,1.78279205345317,1.49626973490803,49.6269734908035,1
M2REAL,1,1,20,01-Oct-1993,3.75918031782355,0.51812147823342,-48.1878521766579,1
BOGMBASE,1,1,100,01-Sep-1992,2.86250541165213,0.642322937285636,-35.7677062714364,1
TOTRESNS,1,1,5,01-Apr-1965,7.35551917099087,13.4458674937705,1244.58674937705,0
NONBORRES,1,1,50,01-Oct-1970,7.52684679107703,1.90706330948328,90.7063309483281,1
BUSLOANS,1,1,100,01-Jan-1969,0.19473305703712,0.912926960547999,-8.70730394520012,1
REALLN,1,1,20,01-Oct-1993,2.79810660418224,1.65301786062017,65.3017860620167,1
NONREVSL,1,1,100,01-Dec-1974,0.851221017742809,1.41615125297261,41.6151252972605,1
