series_name,include_main_full_ext,uvfull_smooth_found,uvfull_smooth_gamma,uvfull_smooth_midpoint,uvfull_smooth_ssr_gain,uvfull_smooth_ratio,uvfull_smooth_pct_change,uvfull_smooth_abrupt
CPIULFSL,1,1,100,01-Jun-1999,2.64501107060223,1.38607367163623,38.6073671636232,1
CUSR0000SA0L2,1,1,100,01-Apr-1999,4.76196315760727,1.60813129953306,60.8131299533058,1
CUSR0000SA0L5,1,1,100,01-Jul-1999,1.08707889029356,1.23818170662299,23.8181706622986,1
PCEPI,1,1,100,01-Apr-1972,1.89196069555219,1.43809020024743,43.809020024743,1
DDURRG3M086SBEA,1,1,100,01-Nov-2015,5.03781631905788,1.64574476284395,64.5744762843947,1
DNDGRG3M086SBEA,1,1,100,01-Nov-1998,10.4637746771132,2.02259173106513,102.259173106513,1
DSERRG3M086SBEA,1,1,100,01-Mar-1973,3.1259296505835,1.70619324124611,70.6193241246108,1
CES0600000008,1,1,100,01-Jun-1983,7.85401953645929,0.555328975333142,-44.4671024666858,1
CES2000000008,1,1,10,01-Mar-1969,9.65963461135811,0.322982043044171,-67.7017956955829,0
CES3000000008,1,1,20,01-Nov-1978,6.6102308758596,0.5289364512709,-47.10635487291,1
UMCSENTx,0,0,NaN,,NaN,NaN,NaN,0
DTCOLNVHFNM,1,1,100,01-Apr-1975,2.767432883574,2.34446260351061,134.446260351061,1
DTCTHFNM,1,1,100,01-Jan-1974,0.573842771031426,1.75672413597781,75.6724135977807,1
INVEST,1,1,100,01-Mar-1978,3.22226497839302,0.689545023574987,-31.0454976425013,1
VIXCLSx,1,1,100,01-Dec-1997,3.48775314932501,1.42345604956669,42.3456049566686,1
