series_name,include_main_2007,cv2007_smooth_found,cv2007_smooth_gamma,cv2007_smooth_midpoint,cv2007_smooth_ssr_gain,cv2007_smooth_ratio,cv2007_smooth_pct_change,cv2007_smooth_abrupt
BUSINVx,1,1,100,01-Aug-1973,0.715449548189587,1.28883629438344,28.8836294383436,1
ISRATIOx,1,1,100,01-Nov-1991,3.64192853765941,0.657169218789949,-34.2830781210051,1
M1SL,1,1,100,01-Sep-1999,5.74130816461525,1.77871964344618,77.8719643446183,1
M2SL,1,1,100,01-Oct-1999,3.72255591037596,1.57055324634854,57.055324634854,1
M2REAL,1,1,100,01-Feb-2000,3.2145523794317,1.48947339349155,48.9473393491547,1
BOGMBASE,1,1,100,01-Dec-1998,0.4703901913021,1.19830593454434,19.8305934544338,1
TOTRESNS,1,1,5,01-Oct-1994,8.53506034521377,4.97801304781602,397.801304781602,0
NONBORRES,1,1,100,01-Aug-2000,7.87796221515004,2.57059198014486,157.059198014486,1
BUSLOANS,1,1,100,01-Apr-1998,0.281638127279368,1.12080968482175,12.0809684821747,1
REALLN,1,1,20,01-Aug-1999,14.9633402098097,3.02811174241205,202.811174241205,1
NONREVSL,1,1,100,01-Jun-1974,0.302074050288535,1.17998748856372,17.9987488563722,1
CONSPI,1,1,100,01-Aug-1978,0.58422613373214,0.823895821725277,-17.6104178274723,1
S&P 500,1,1,100,01-May-1969,0.49985561705752,1.18620580571192,18.6205805711924,1
S&P div yield,1,1,100,01-May-1991,9.84866319304474,0.408888949905431,-59.1111050094569,1
S&P PE ratio,1,1,100,01-Apr-1969,0.569237924072662,1.1975030183112,19.7503018311202,1
FEDFUNDS,1,1,50,01-Nov-1986,8.94616007314568,0.273260242284061,-72.6739757715938,1
CP3Mx,1,1,50,01-Nov-1989,6.19963567755216,0.377478556283824,-62.2521443716176,1
TB3MS,1,1,100,01-Mar-1986,9.55104665454598,0.364932398431209,-63.5067601568791,1
