series_name,include_main_hist,uv_nobs_hist,uv_mean_pre84,uv_mean_post84,uv_ratio_post_pre84,uv_pct_change_post_pre84,uv_break_found_hist,uv_break_date_hist,uv_mu1_hist,uv_mu2_hist,uv_delta_hist,uv_ratio_break_hist,uv_pct_change_break_hist,uv_ssr_nobreak_hist,uv_ssr_best_hist,uv_ssr_gain_pct_hist,uv_supw_found_hist,uv_supw_stat_hist,uv_supw_hac_lag_hist,uv_supw_break_date_hist,uv_supw_mu1_hist,uv_supw_mu2_hist,uv_supw_ratio_hist,uv_supw_pct_change_hist,uv_hansen_pval_hist,uv_hansen_sig5_hist
HOUST,1,490,0.228297304386846,0.165278961624533,0.723963701929968,-27.6036298070032,1,01-Aug-1993,0.226249472443482,0.0802483650998525,-0.14600110734363,0.354689733563462,-64.5310266436538,14.6338363663388,13.2650673913493,9.35345278383769,1,39.8728278781659,5,01-Aug-1993,0.226249472443482,0.0802483650998525,0.354689733563462,-64.5310266436538,1.24543595436677e-08,1
HOUSTNE,1,490,0.350207532982645,0.403517337900646,1.15222346722234,15.2223467222341,1,01-Jan-1980,0.322951704344899,0.42165814190453,0.0987064375596312,1.30563838565229,30.5638385652292,22.3145002850288,21.1217033944699,5.34538921025763,1,8.07068909264991,5,01-Jan-1980,0.322951704344899,0.42165814190453,1.30563838565229,30.5638385652293,0.0645686693156994,0
HOUSTMW,1,490,0.325158834233277,0.166594453420076,0.512347923170855,-48.7652076829145,1,01-Nov-1985,0.322741808516791,0.149605604285688,-0.173136204231103,0.463545782844879,-53.6454217155121,26.1621034868177,22.8433771566165,12.6852427285652,1,47.4968563137151,5,01-Dec-1991,0.299260997158118,0.114319112269506,0.382004716134471,-61.7995283865529,2.77878942078758e-10,1
HOUSTS,1,490,0.275253294071759,0.20840893328987,0.757153275831597,-24.2846724168403,1,01-Mar-1993,0.272140555403887,0.132524810677154,-0.139615744726733,0.486971926989978,-51.3028073010022,16.2956238109156,14.9777281098105,8.08742099349541,1,24.4099836464856,5,01-Mar-1993,0.272140555403887,0.132524810677154,0.486971926989978,-51.3028073010022,2.61071530684998e-05,1
HOUSTW,1,490,0.328368902337476,0.209437612931768,0.637811959174264,-36.2188040825736,1,01-Mar-1993,0.316098671336573,0.108414790158134,-0.20768388117844,0.342977683834351,-65.7022316165649,24.3161212541543,21.3999177373483,11.9928811274031,1,64.0337668823787,5,01-Jul-1993,0.314865517858485,0.10424020394692,0.331062622086712,-66.8937377913288,6.99440505513849e-14,1
PERMIT,1,480,0.265451753639975,0.200776025835178,0.756355997208761,-24.3644002791239,1,01-Jun-1993,0.261553145177688,0.126342790349183,-0.135210354828505,0.483048254928652,-51.6951745071348,15.9554772986107,14.7612160971583,7.48496067589554,1,17.8942530241357,5,01-Jun-1993,0.261553145177688,0.126342790349183,0.483048254928653,-51.6951745071347,0.000624206752783851,1
PERMITNE,1,480,0.347999547409346,0.364190568188457,1.04652598228832,4.65259822883219,1,01-Sep-1970,0.284952070512964,0.380027469088043,0.095075398575079,1.33365400154463,33.3654001544634,23.1138705376144,22.2611791061477,3.68908976140138,1,7.17762482946731,5,01-Sep-1970,0.284952070512963,0.380027469088043,1.33365400154464,33.3654001544637,0.0965635881107468,0
PERMITMW,1,480,0.343157454552509,0.1749393150076,0.509793136319093,-49.0206863680907,1,01-Feb-1985,0.342185728541086,0.163357333557156,-0.17882839498393,0.477393765817272,-52.2606234182728,28.0536333885939,24.4721852617344,12.7664323449653,1,22.1095614030694,5,01-Apr-1985,0.341216478221411,0.162999352348142,0.477700705422478,-52.2299294577522,8.04645209585564e-05,1
PERMITS,1,480,0.381379270383089,0.276663615218873,0.725429085175419,-27.4570914824581,1,01-Jun-1976,0.431194484452409,0.275106865499207,-0.156087618953201,0.638011095732304,-36.1988904267696,24.4336735291714,21.5996074464189,11.5990175581619,1,16.2973324395815,5,01-Aug-1986,0.39301960402291,0.232439816906389,0.591420413961944,-40.8579586038056,0.00134817079482585,1
PERMITW,1,480,0.337286388374275,0.232212206959964,0.688471918713442,-31.1528081286558,1,01-Jul-1993,0.329624117944915,0.115385766964982,-0.214238350979933,0.350052561943494,-64.9947438056506,24.1933258435891,21.226111172442,12.2646001229026,1,52.2762914881105,5,01-Aug-1993,0.329298011900984,0.114300352369829,0.347103074537232,-65.2896925462768,2.54498644380874e-11,1
