series_name,include_main_full_ext,uvfull_nobs,uvfull_mean_pre84,uvfull_mean_post84,uvfull_ratio_post_pre84,uvfull_pct_change_post84,uvfull_break_found,uvfull_break_date,uvfull_mu1,uvfull_mu2,uvfull_delta,uvfull_ratio_break,uvfull_pct_change_break,uvfull_ssr_nobreak,uvfull_ssr_best,uvfull_ssr_gain_pct,uvfull_supw_found,uvfull_supw_stat,uvfull_supw_hac_lag,uvfull_supw_break_date,uvfull_supw_mu1,uvfull_supw_mu2,uvfull_supw_ratio,uvfull_supw_pct_change,uvfull_hansen_pval,uvfull_hansen_sig5
UEMP15T26,1,801,0.0860206123852325,0.0787134898433926,0.915053818622961,-8.49461813770392,1,01-Mar-2015,0.0751669270063145,0.114372546927938,0.0392056199216235,1.52158072017937,52.1580720179368,6.24139615152478,6.0760899416784,2.64854538685225,1,9.06203251008897,6,01-Feb-1971,0.100581409754529,0.0772348628270526,0.767884075352946,-23.2115924647054,0.0410572916655645,1
UEMP27OV,1,801,0.0834493503606239,0.0608122218993826,0.728732118783242,-27.1267881216758,1,01-Jul-1976,0.0909997783183298,0.0615498316796021,-0.0294499466387277,0.676373424386731,-32.3626575613269,3.12368806899787,2.98971901176209,4.28881035098851,1,18.503494268849,6,01-Jul-1976,0.0909997783183302,0.061549831679602,0.676373424386727,-32.3626575613273,0.000464851689293666,1
CLAIMSx,1,803,0.0564003242514203,0.0543575551614512,0.963780898122804,-3.62191018771959,1,01-Dec-2015,0.0466316038713073,0.102934778043178,0.0563031741718707,2.20740376692285,120.740376692285,12.2121405049209,11.8863638506941,2.66764580783765,1,1.95533204361981,6,01-Dec-2015,0.0466316038713073,0.102934778043178,2.20740376692285,120.740376692285,0.800177926958179,0
PAYEMS,1,803,0.00278433848629321,0.00199265580021075,0.715665789206388,-28.4334210793611,1,01-Dec-2015,0.0020669088684947,0.00352390247692909,0.00145699360843439,1.70491429527587,70.4914295275874,0.0383394080176286,0.0381212508467602,0.569015491235672,1,2.12796373918142,6,01-Feb-1984,0.00279608829758065,0.00198250011679445,0.709026291662473,-29.0973708337527,0.757679387188881,0
USGOOD,1,803,0.00562130346671793,0.00333905866487176,0.594000783740166,-40.5999216259834,1,01-Jun-1984,0.0056299709857618,0.00330633643120359,-0.0023236345545582,0.587274151068509,-41.2725848931491,0.0375086823774586,0.036488696317454,2.71933321928035,1,11.988502624125,6,01-Feb-1984,0.00564485371137476,0.00331593826129175,0.587426783905827,-41.2573216094173,0.010504811092937,1
CES1021000001,1,803,0.0143290933579938,0.0085002466771995,0.593215946384876,-40.6784053615124,1,01-Apr-1983,0.014575532622043,0.00845183222665776,-0.00612370039538519,0.579864382717366,-42.0135617282635,0.31181725002007,0.304869763916918,2.22806342583831,1,7.36708856451817,6,01-Sep-1986,0.0141638093258824,0.00820863030890004,0.579549619741063,-42.0450380258937,0.08870399514468,0
USCONS,1,803,0.010645279560292,0.00571425098517621,0.536787310545698,-46.3212689454303,1,01-Jun-1984,0.0106899641584757,0.0056277373793675,-0.00506222677910819,0.526450537713493,-47.3549462286507,0.0910379058971413,0.0861968312671967,5.31764717371045,1,25.7714651789267,6,01-Jun-1984,0.0106899641584757,0.00562773737936748,0.526450537713491,-47.3549462286508,1.33835744779986e-05,1
MANEMP,1,803,0.0056179779621336,0.00294713366032678,0.524589751008478,-47.5410248991522,1,01-Apr-1984,0.00562256306647036,0.00292304567885586,-0.0026995173876145,0.519877793152233,-48.0122206847767,0.0327226929419064,0.0313495954250234,4.19616294820445,1,17.0370562704046,6,01-Apr-1984,0.00562256306647037,0.00292304567885585,0.51987779315223,-48.012220684777,0.000944172237623109,1
DMANEMP,1,803,0.00758402050947063,0.00369830068736243,0.487643814088337,-51.2356185911663,1,01-Apr-1984,0.00758287504157531,0.00366796745785336,-0.00391490758372195,0.483717249426196,-51.6282750573804,0.0508803298701695,0.0479924963543898,5.6757366218902,1,21.7276943406415,6,01-Jul-1984,0.00756188519884556,0.00365723890219352,0.483641156407909,-51.6358843592091,9.69510576969146e-05,1
NDMANEMP,1,803,0.00349163290811545,0.00250237757857424,0.716678311960595,-28.3321688039405,1,01-Apr-1984,0.00349216063448441,0.00249416122192436,-0.000997999412560054,0.71421720905247,-28.578279094753,0.0178716127660423,0.0176839449954298,1.05008861298274,1,4.7053108010766,6,01-Apr-1984,0.00349216063448442,0.00249416122192436,0.714217209052468,-28.5782790947532,0.282792672204458,0
SRVPRD,1,803,0.00201096657182039,0.00195209403908353,0.970724260879402,-2.92757391205984,1,01-Dec-2015,0.00166437102386083,0.00371879743691383,0.002054426413053,2.23435603215884,123.435603215884,0.0395215726738124,0.0390878267767487,1.0974914906437,1,0.94811768364732,6,01-Dec-2015,0.00166437102386083,0.00371879743691383,2.23435603215884,123.435603215884,1,0
USTPU,1,803,0.00265362184605844,0.00240390752001067,0.905896792936536,-9.41032070634642,1,01-Dec-2015,0.00225440608846425,0.00386155087105939,0.00160714478259515,1.71289054390816,71.2890543908162,0.0276692841018555,0.0274038454241791,0.959326149166864,1,0.876681516233229,6,01-Jun-1969,0.0028430447818367,0.00243330641352437,0.855880438138009,-14.4119561861991,1,0
USWTRADE,1,803,0.00281792800566206,0.00227123133531605,0.805993386187462,-19.4006613812538,1,01-Sep-1984,0.00284777750172959,0.00224283604232039,-0.000604941459409207,0.78757418406396,-21.242581593604,0.0103129079656081,0.0102435124820845,0.672899280737105,1,4.09041953645671,6,01-Sep-1984,0.00284777750172959,0.00224283604232039,0.787574184063961,-21.2425815936039,0.364373518845779,0
USTRADE,1,803,0.00326163445290615,0.00298132309692114,0.914058009862129,-8.59419901378714,1,01-Dec-2015,0.00271589681460223,0.00516771573018587,0.00245181891558364,1.9027658570831,90.27658570831,0.0473687022006776,0.046750926272005,1.30418588640096,1,1.91545367962882,6,01-Jun-1969,0.0038103786765439,0.00295294296762852,0.774973622912172,-22.5026377087828,0.810019332580137,0
USFIRE,1,803,0.00183963485679686,0.00194558690765432,1.05759406572777,5.75940657277724,1,01-Sep-2011,0.00203091743278241,0.00144897485816973,-0.000581942574612678,0.713458279879255,-28.6541720120745,0.00326525191576108,0.00321947963817073,1.40179927219142,1,3.94062512672546,6,01-Jun-2011,0.00203199030281931,0.00145510094583067,0.716096402532913,-28.3903597467087,0.387108704311483,0
